country,code,region
Lithuania,LTU,Europe & Central Asia
Luxembourg,LUX,Europe & Central Asia
"Macao SAR, China",MAC,East Asia & Pacific
"Macedonia, FYR",MKD,Europe & Central Asia
Madagascar,MDG,Sub-Saharan Africa
Malawi,MWI,Sub-Saharan Africa
Malaysia,MYS,East Asia & Pacific
Maldives,MDV,South Asia
Mali,MLI,Sub-Saharan Africa
Malta,MLT,Middle East & North Africa
Marshall Islands,MHL,East Asia & Pacific
Mauritania,MRT,Sub-Saharan Africa
Mauritius,MUS,Sub-Saharan Africa
Mexico,MEX,Latin America & Caribbean
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific
Moldova,MDA,Europe & Central Asia
Monaco,MCO,Europe & Central Asia
Mongolia,MNG,East Asia & Pacific
Montenegro,MNE,Europe & Central Asia
Morocco,MAR,Middle East & North Africa
Mozambique,MOZ,Sub-Saharan Africa
Myanmar,MMR,East Asia & Pacific
Namibia,NAM,Sub-Saharan Africa
Nauru,NRU,East Asia & Pacific
Nepal,NPL,South Asia
Netherlands,NLD,Europe & Central Asia
New Caledonia,NCL,East Asia & Pacific
New Zealand,NZL,East Asia & Pacific
Nicaragua,NIC,Latin America & Caribbean
Niger,NER,Sub-Saharan Africa
Nigeria,NGA,Sub-Saharan Africa
Northern Mariana Islands,MNP,East Asia & Pacific
Norway,NOR,Europe & Central Asia
Oman,OMN,Middle East & North Africa
Pakistan,PAK,South Asia
Palau,PLW,East Asia & Pacific
Panama,PAN,Latin America & Caribbean
Papua New Guinea,PNG,East Asia & Pacific
Paraguay,PRY,Latin America & Caribbean
Peru,PER,Latin America & Caribbean
Philippines,PHL,East Asia & Pacific
Poland,POL,Europe & Central Asia
Portugal,PRT,Europe & Central Asia
Puerto Rico,PRI,Latin America & Caribbean
Qatar,QAT,Middle East & North Africa
Romania,ROU,Europe & Central Asia
Russian Federation,RUS,Europe & Central Asia
Rwanda,RWA,Sub-Saharan Africa
Samoa,WSM,East Asia & Pacific
San Marino,SMR,Europe & Central Asia
S?o Tom? and Principe,STP,Sub-Saharan Africa
Saudi Arabia,SAU,Middle East & North Africa
Senegal,SEN,Sub-Saharan Africa
Serbia,SRB,Europe & Central Asia
Seychelles,SYC,Sub-Saharan Africa
Sierra Leone,SLE,Sub-Saharan Africa
Singapore,SGP,East Asia & Pacific
Sint Maarten (Dutch part),SXM,Latin America & Caribbean
Slovak Republic,SVK,Europe & Central Asia
Slovenia,SVN,Europe & Central Asia
Solomon Islands,SLB,East Asia & Pacific
Somalia,SOM,Sub-Saharan Africa
South Africa,ZAF,Sub-Saharan Africa
South Sudan,SSD,Sub-Saharan Africa
Spain,ESP,Europe & Central Asia
Sri Lanka,LKA,South Asia
St. Kitts and Nevis,KNA,Latin America & Caribbean
St. Lucia,LCA,Latin America & Caribbean
St. Martin (French part),MAF,Latin America & Caribbean
St. Vincent and the Grenadines,VCT,Latin America & Caribbean
Sudan,SDN,Sub-Saharan Africa
Suriname,SUR,Latin America & Caribbean
Swaziland,SWZ,Sub-Saharan Africa
Sweden,SWE,Europe & Central Asia
Switzerland,CHE,Europe & Central Asia
Syrian Arab Republic,SYR,Middle East & North Africa
"Taiwan, China",TWN,East Asia & Pacific
Tajikistan,TJK,Europe & Central Asia
Tanzania,TZA,Sub-Saharan Africa
Thailand,THA,East Asia & Pacific
Timor-Leste,TLS,East Asia & Pacific
Togo,TGO,Sub-Saharan Africa
Tonga,TON,East Asia & Pacific
Trinidad and Tobago,TTO,Latin America & Caribbean
Tunisia,TUN,Middle East & North Africa
Turkey,TUR,Europe & Central Asia
Turkmenistan,TKM,Europe & Central Asia
Turks and Caicos Islands,TCA,Latin America & Caribbean
Tuvalu,TUV,East Asia & Pacific
Uganda,UGA,Sub-Saharan Africa
Ukraine,UKR,Europe & Central Asia
United Arab Emirates,ARE,Middle East & North Africa
United Kingdom,GBR,Europe & Central Asia
United States,USA,North America
Uruguay,URY,Latin America & Caribbean
Uzbekistan,UZB,Europe & Central Asia
Vanuatu,VUT,East Asia & Pacific
"Venezuela, RB",VEN,Latin America & Caribbean
Vietnam,VNM,East Asia & Pacific
Virgin Islands (U.S.),VIR,Latin America & Caribbean
West Bank and Gaza,PSE,Middle East & North Africa
"Yemen, Rep.",YEM,Middle East & North Africa
Zambia,ZMB,Sub-Saharan Africa
Zimbabwe,ZWE,Sub-Saharan Africa
